y,z,vy,vz
-2.26515,2.62929,1.98506,0.755984
-2.2452,2.63689,1.9874,0.775847
-2.22523,2.64469,1.98954,0.795732
-2.20524,2.65268,1.99149,0.815638
-2.18522,2.66088,1.99323,0.835562
-2.16519,2.66928,1.99477,0.855503
-2.14514,2.67788,1.99612,0.875458
-2.12508,2.68667,1.99727,0.895425
-2.10501,2.69567,1.99821,0.915403
-2.08493,2.70487,1.99896,0.935389
-2.06484,2.71427,1.9995,0.955382
-2.04474,2.72387,1.99985,0.975379
-2.02464,2.73368,2,0.995379
-2.00454,2.74368,1.99994,1.01538
-1.98444,2.75389,1.99969,1.03538
-1.96435,2.76429,1.99923,1.05537
-1.94425,2.7749,1.99858,1.07536
-1.92417,2.7857,1.99773,1.09534
-1.90409,2.79671,1.99667,1.11532
-1.88403,2.80792,1.99542,1.13528
-1.86397,2.81933,1.99397,1.15523
-1.84393,2.83094,1.99232,1.17516
-1.82391,2.84275,1.99047,1.19507
-1.80391,2.85476,1.98841,1.21497
-1.78392,2.86697,1.98617,1.23484
-1.76396,2.87938,1.98372,1.25469
-1.74402,2.89199,1.98107,1.27451
-1.72411,2.9048,1.97823,1.29431
-1.70423,2.91781,1.97519,1.31408
-1.68438,2.93102,1.97195,1.33382
-1.66456,2.94442,1.96851,1.35352
-1.64478,2.95802,1.96488,1.37319
-1.62503,2.97182,1.96105,1.39282
-1.60533,2.98582,1.95702,1.41241
-1.58566,3.00002,1.9528,1.43196
-1.56603,3.01441,1.94838,1.45146
-1.54645,3.02899,1.94377,1.47092
-1.52692,3.04378,1.93896,1.49034
-1.50743,3.05876,1.93396,1.5097
-1.48799,3.07393,1.92877,1.52902
-1.46861,3.08929,1.92338,1.54828
-1.44928,3.10485,1.9178,1.56748
-1.43,3.12061,1.91203,1.58663
-1.41079,3.13655,1.90607,1.60573
-1.39163,3.15269,1.89992,1.62476
-1.37254,3.16902,1.89357,1.64372
-1.35351,3.18554,1.88704,1.66263
-1.33454,3.20225,1.88032,1.68146
-1.31565,3.21915,1.87341,1.70023
-1.29682,3.23624,1.86632,1.71893
-1.27806,3.25351,1.85903,1.73756
-1.25938,3.27097,1.85157,1.75611
-1.24077,3.28862,1.84391,1.77459
-1.22224,3.30646,1.83607,1.79299
-1.20379,3.32448,1.82805,1.81131
-1.18541,3.34268,1.81985,1.82955
-1.16713,3.36107,1.81146,1.84771
-1.14892,3.37964,1.80289,1.86578
-1.1308,3.39839,1.79415,1.88377
-1.11277,3.41732,1.78522,1.90166
-1.09483,3.43643,1.77611,1.91947
-1.07698,3.45572,1.76683,1.93719
-1.05922,3.47519,1.75737,1.95481
-1.04156,3.49484,1.74773,1.97233
-1.024,3.51466,1.73792,1.98976
-1.00653,3.53466,1.72794,2.00709
-0.989164,3.55483,1.71778,2.02432
-0.9719,3.57517,1.70745,2.04145
-0.95474,3.59569,1.69695,2.05847
-0.937686,3.61638,1.68628,2.07539
-0.920738,3.63723,1.67544,2.0922
-0.9039,3.65826,1.66444,2.1089
-0.887173,3.67945,1.65327,2.12549
-0.870557,3.70081,1.64193,2.14196
-0.854056,3.72234,1.63043,2.15832
-0.83767,3.74403,1.61876,2.17457
-0.821402,3.76589,1.60694,2.1907
-0.805252,3.7879,1.59495,2.20671
-0.789223,3.81008,1.5828,2.2226
-0.773316,3.83242,1.5705,2.23837
-0.757532,3.85491,1.55803,2.25401
-0.741874,3.87757,1.54542,2.26953
-0.726342,3.90038,1.53264,2.28492
-0.710939,3.92334,1.51972,2.30018
-0.695666,3.94646,1.50664,2.31531
-0.680524,3.96972,1.49341,2.33031
-0.665516,3.99314,1.48003,2.34518
-0.650641,4.01671,1.46651,2.35991
-0.635903,4.04043,1.45284,2.37451
-0.621302,4.06429,1.43902,2.38897
-0.60684,4.0883,1.42506,2.40329
-0.592518,4.11246,1.41095,2.41747
-0.578338,4.13675,1.39671,2.43151
-0.564301,4.16119,1.38232,2.4454
-0.550409,4.18576,1.3678,2.45915
-0.536662,4.21048,1.35314,2.47276
-0.523063,4.23533,1.33834,2.48622
-0.509613,4.26032,1.32341,2.49953
-0.496313,4.28544,1.30835,2.51269
-0.483164,4.31069,1.29316,2.52569
-0.470167,4.33607,1.27784,2.53855
-0.457325,4.36159,1.26239,2.55125
-0.444638,4.38723,1.24681,2.5638
-0.432108,4.41299,1.23111,2.57619
-0.419735,4.43888,1.21529,2.58842
-0.407521,4.4649,1.19935,2.60049
-0.395468,4.49103,1.18328,2.61241
-0.383576,4.51729,1.1671,2.62416
-0.371847,4.54366,1.1508,2.63575
-0.360281,4.57015,1.13438,2.64717
-0.348881,4.59675,1.11785,2.65844
-0.337646,4.62347,1.10121,2.66953
-0.326579,4.6503,1.08446,2.68046
-0.31568,4.67724,1.0676,2.69122
-0.304951,4.70428,1.05064,2.70181
-0.294392,4.73144,1.03357,2.71223
-0.284004,4.75869,1.01639,2.72248
-0.27379,4.78606,0.999118,2.73256
-0.263748,4.81352,0.981743,2.74247
-0.253882,4.84108,0.964269,2.7522
-0.244191,4.86874,0.946699,2.76175
-0.234677,4.89649,0.929034,2.77113
-0.22534,4.92434,0.911276,2.78033
-0.216182,4.95229,0.893427,2.78936
-0.207203,4.98032,0.875489,2.7982
-0.198404,5.00844,0.857463,2.80687
-0.189787,5.03665,0.839352,2.81535
-0.181351,5.06494,0.821156,2.82365
-0.173098,5.09332,0.802879,2.83177
-0.165029,5.12178,0.784521,2.83971
-0.157145,5.15032,0.766084,2.84746
-0.149446,5.17894,0.747571,2.85503
-0.141933,5.20763,0.728984,2.86241
-0.134607,5.2364,0.710323,2.86961
-0.127468,5.26524,0.691592,2.87662
-0.120517,5.29415,0.672791,2.88344
-0.113756,5.32313,0.653923,2.89008
-0.107184,5.35217,0.634989,2.89652
-0.100802,5.38128,0.615992,2.90278
-0.0946114,5.41045,0.596934,2.90884
-0.0886123,5.43969,0.577815,2.91472
-0.0828052,5.46898,0.558639,2.9204
-0.0771909,5.49833,0.539407,2.92589
-0.0717698,5.52774,0.520122,2.93119
-0.0665426,5.5572,0.500784,2.93629
-0.0615097,5.5867,0.481396,2.9412
-0.0566717,5.61626,0.46196,2.94592
-0.052029,5.64587,0.442477,2.95044
-0.0475821,5.67552,0.422951,2.95477
-0.0433315,5.70522,0.403382,2.9589
-0.0392775,5.73495,0.383773,2.96284
-0.0354206,5.76473,0.364125,2.96658
-0.0317611,5.79455,0.344441,2.97012
-0.0282995,5.82439,0.324723,2.97346
-0.025036,5.85428,0.304972,2.97661
-0.021971,5.88419,0.285191,2.97956
-0.0191049,5.91414,0.265381,2.98232
-0.0164378,5.94411,0.245544,2.98487
-0.0139701,5.97411,0.225683,2.98723
