y,z,vy,vz
-3.31523,2.51485,1.53163,-0.287606
-3.29726,2.51147,1.54655,-0.269652
-3.27911,2.50831,1.56126,-0.251524
-3.26079,2.50536,1.57576,-0.233227
-3.2423,2.50262,1.59004,-0.214761
-3.22364,2.5001,1.60411,-0.19613
-3.20482,2.4978,1.61795,-0.177336
-3.18584,2.49572,1.63158,-0.158382
-3.16669,2.49386,1.64499,-0.13927
-3.14739,2.49223,1.65817,-0.120003
-3.12794,2.49082,1.67112,-0.100583
-3.10833,2.48964,1.68385,-0.0810139
-3.08857,2.48869,1.69635,-0.0612973
-3.06867,2.48797,1.70862,-0.0414362
-3.04862,2.48748,1.72066,-0.0214333
-3.02843,2.48723,1.73246,-0.00129136
-3.0081,2.48722,1.74402,0.018987
-2.98764,2.48744,1.75535,0.0393989
-2.96704,2.4879,1.76644,0.0599416
-2.94631,2.4886,1.77729,0.0806123
-2.92546,2.48955,1.7879,0.101408
-2.90448,2.49074,1.79826,0.122326
-2.88338,2.49218,1.80838,0.143364
-2.86216,2.49386,1.81825,0.164519
-2.84083,2.49579,1.82788,0.185787
-2.81938,2.49797,1.83726,0.207166
-2.79782,2.5004,1.84638,0.228653
-2.77616,2.50308,1.85526,0.250245
-2.75439,2.50602,1.86388,0.271939
-2.73252,2.50921,1.87225,0.293733
-2.71055,2.51266,1.88037,0.315622
-2.68849,2.51636,1.88823,0.337605
-2.66633,2.52032,1.89583,0.359678
-2.64409,2.52454,1.90317,0.381838
-2.62176,2.52902,1.91026,0.404083
-2.59934,2.53376,1.91708,0.426408
-2.57685,2.53877,1.92365,0.448812
-2.55428,2.54403,1.92995,0.471291
-2.53163,2.54956,1.93599,0.493842
-2.50891,2.55536,1.94176,0.516462
-2.48613,2.56142,1.94728,0.539147
-2.46328,2.56774,1.95252,0.561896
-2.44037,2.57433,1.9575,0.584704
-2.4174,2.5812,1.96222,0.607569
-2.39438,2.58832,1.96667,0.630487
-2.3713,2.59572,1.97085,0.653455
-2.34818,2.60339,1.97476,0.676471
-2.32501,2.61133,1.9784,0.699531
-2.30179,2.61954,1.98177,0.722632
-2.27854,2.62801,1.98488,0.745771
-2.25525,2.63676,1.98771,0.768944
-2.23193,2.64579,1.99027,0.792149
-2.20858,2.65508,1.99257,0.815382
-2.1852,2.66465,1.99459,0.83864
-2.16179,2.67449,1.99634,0.861921
-2.13837,2.6846,1.99781,0.88522
-2.11493,2.69499,1.99902,0.908535
-2.09147,2.70565,1.99995,0.931863
-2.068,2.71658,2.00062,0.9552
-2.04453,2.72779,2.001,0.978543
-2.02105,2.73927,2.00112,1.00189
-1.99757,2.75103,2.00097,1.02523
-1.97409,2.76306,2.00054,1.04858
-1.95062,2.77536,1.99984,1.07191
-1.92715,2.78794,1.99887,1.09524
-1.9037,2.80079,1.99762,1.11855
-1.88026,2.81392,1.99611,1.14185
-1.85684,2.82731,1.99432,1.16513
-1.83344,2.84099,1.99226,1.18838
-1.81006,2.85493,1.98993,1.21161
-1.78671,2.86915,1.98733,1.23481
-1.76339,2.88363,1.98445,1.25798
-1.74011,2.8984,1.98131,1.28112
-1.71686,2.91343,1.9779,1.30421
-1.69365,2.92873,1.97422,1.32727
-1.67049,2.9443,1.97027,1.35028
-1.64737,2.96015,1.96605,1.37324
-1.6243,2.97626,1.96157,1.39615
-1.60129,2.99264,1.95681,1.41901
-1.57832,3.00929,1.9518,1.44181
-1.55542,3.02621,1.94651,1.46455
-1.53258,3.04339,1.94096,1.48723
-1.50981,3.06085,1.93515,1.50984
-1.4871,3.07856,1.92907,1.53238
-1.46447,3.09654,1.92273,1.55485
-1.44191,3.11479,1.91613,1.57725
-1.41942,3.13329,1.90927,1.59956
-1.39702,3.15206,1.90215,1.6218
-1.3747,3.17109,1.89476,1.64395
-1.35247,3.19038,1.88713,1.66601
-1.33033,3.20993,1.87923,1.68798
-1.30828,3.22973,1.87108,1.70986
-1.28632,3.2498,1.86267,1.73164
-1.26447,3.27012,1.85401,1.75332
-1.24271,3.29069,1.8451,1.7749
-1.22106,3.31151,1.83594,1.79638
-1.19952,3.33259,1.82652,1.81774
-1.17809,3.35392,1.81686,1.839
-1.15677,3.3755,1.80695,1.86014
-1.13557,3.39732,1.7968,1.88116
-1.11449,3.4194,1.7864,1.90207
-1.09353,3.44172,1.77575,1.92285
-1.07269,3.46428,1.76487,1.9435
-1.05198,3.48708,1.75374,1.96403
-1.0314,3.51013,1.74238,1.98442
-1.01096,3.53341,1.73078,2.00469
-0.990651,3.55693,1.71894,2.02481
-0.970482,3.58069,1.70687,2.0448
-0.950454,3.60468,1.69457,2.06464
-0.930571,3.62891,1.68204,2.08434
-0.910834,3.65337,1.66927,2.10389
-0.891248,3.67805,1.65628,2.12329
-0.871814,3.70297,1.64307,2.14254
-0.852535,3.72811,1.62963,2.16163
-0.833413,3.75347,1.61597,2.18056
-0.814452,3.77906,1.60209,2.19934
-0.795654,3.80486,1.58799,2.21795
-0.777021,3.83089,1.57368,2.23639
-0.758556,3.85713,1.55915,2.25467
-0.740262,3.88358,1.54441,2.27278
-0.72214,3.91025,1.52945,2.29071
-0.704194,3.93713,1.51429,2.30847
-0.686426,3.96422,1.49893,2.32605
-0.668838,3.99151,1.48336,2.34344
-0.651433,4.01901,1.46759,2.36066
-0.634213,4.0467,1.45161,2.37769
-0.617181,4.0746,1.43544,2.39453
-0.600338,4.1027,1.41908,2.41119
-0.583687,4.13099,1.40252,2.42765
-0.56723,4.15948,1.38577,2.44392
-0.55097,4.18815,1.36883,2.45999
-0.534909,4.21702,1.35171,2.47586
-0.519049,4.24607,1.3344,2.49153
-0.503391,4.2753,1.31691,2.507
