dv_v0,y0_R
0.026093,-0.770677
0.0258745,0.987371
0.0260763,-0.821728
0.0257339,0.444893
0.0257937,0.62798
0.0259142,-0.527245
0.0257683,0.497762
0.0259253,-0.410598
0.0259059,0.675403
0.0259296,0.598555
0.0259163,-0.754622
0.0257058,0.964909
0.0257879,0.625132
0.0258123,0.705759
0.0257814,0.00408052
0.0259926,-0.96787
0.0257808,0.751161
0.0257416,0.48377
0.0258975,-0.327792
0.0259868,0.0793355
0.0258204,0.00855651
0.0258852,-0.400152
0.0257766,0.588273
0.0258205,0.99494
0.026,-0.829034
0.025881,0.467767
0.025726,0.986419
0.0257011,0.804931
0.0259353,0.567769
0.0259801,0.228333
0.0258586,-0.0751486
0.0258365,0.475116
0.0256836,0.965672
0.0259832,-0.670278
0.0258541,0.476879
0.0260255,-0.893734
0.0260753,-0.582297
0.0257442,0.876266
0.0257698,0.203927
0.0258549,0.647426
0.0259503,0.496899
0.0257827,-0.0479132
0.0258186,0.942056
0.0260245,-0.990088
0.0258876,-0.677006
0.0257921,0.940532
0.0259451,0.094552
0.0258996,-0.556114
0.02596,-0.700594
0.0258129,0.621352
0.0259217,-0.833157
0.025804,0.996262
0.02592,0.641806
0.0259126,-0.952239
0.0258246,0.592367
0.0256857,0.827562
0.025771,0.826468
0.0261033,-0.802582
0.0256907,0.769466
0.025957,-0.509569
0.0258489,0.400669
0.0259345,-0.372596
0.0259333,-0.540448
0.0259778,0.0152703
0.0260009,-0.696079
0.0260595,-0.888369
0.0260991,-0.927706
0.0258454,-0.132469
0.0260249,-0.634345
0.0259817,-0.0175422
0.0258712,0.0445691
0.0258939,0.868045
0.0258785,0.0668287
0.0260201,-0.579275
0.0259514,-0.271075
0.0259152,-0.381085
0.0259098,-0.27159
0.0259131,-0.723953
0.0258352,-0.45581
0.0258131,0.462493
0.0259554,-0.654845
0.0258443,-0.11399
0.0260477,-0.605416
0.0257079,0.911471
0.0257569,0.926277
0.0258537,0.728943
0.0258012,0.722325
0.0258872,0.100808
0.0260001,-0.799151
0.0258807,0.208565
0.0260312,-0.742051
0.0258132,-0.0361282
0.0259305,-0.0389295
0.02589,-0.999784
0.0260201,-0.234644
0.0257783,0.969715
0.0260037,-0.990533
0.0257438,0.732306
0.0259848,-0.636235
0.0260943,-0.938617
0.0258166,0.263722
0.0259208,-0.672301
0.0257772,0.925018
0.0259598,-0.176476
0.025973,-0.770492
0.0260489,-0.358438
0.0258909,-0.651086
0.0258274,0.538667
0.0258956,-0.563014
0.0258347,0.676011
0.0257365,0.345803
0.0258665,0.0772304
0.0256707,0.884963
0.0260137,-0.283971
0.0259843,-0.420277
0.0258243,0.15629
0.02593,0.378921
0.0258729,0.969699
0.0259995,0.0514391
0.0259181,-0.566062
0.0258715,-0.664844
0.0259181,-0.661935
0.0259157,-0.294621
0.025683,0.919924
0.0258607,0.3272
0.0260892,-0.727009
0.025835,0.552345
0.0258552,-0.334929
0.0257626,0.604747
0.0257027,0.785508
0.0258995,-0.995132
0.0259113,-0.506816
0.0260253,-0.765735
0.0258603,0.517254
0.0259152,-0.646162
0.0257924,0.771301
0.0259234,0.594298
0.0258104,0.39289
0.0258546,-0.580989
0.0260097,-0.350326
0.0258874,-0.0395238
0.0258722,0.58693
0.0258798,0.552019
0.0257433,0.92638
0.0260095,-0.795076
0.0257248,0.946564
0.0260159,-0.916665
0.0259727,-0.432289
